Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1999-11-28,16.042,16.184,15.461,15.965,15091490
1999-12-05,15.891,17.124,15.605,16.979,16679877
1999-12-12,17.124,17.769,17.048,17.264,12967352
1999-12-19,17.19,17.627,17.048,17.124,8435534
1999-12-26,17.34,18.784,17.264,18.491,7802837
2000-01-02,18.567,19.002,18.131,18.86,4447548
2000-01-09,19.221,19.724,17.845,19.506,11543401
2000-01-16,19.582,20.519,18.928,19.724,12972486
2000-01-23,19.506,19.724,18.86,19.648,7900791
2000-01-30,19.363,19.363,17.702,18.424,6234528
2000-02-06,18.28,19.145,17.769,18.491,6925108
2000-02-13,18.424,18.567,16.688,16.829,10482813
2000-02-20,16.469,18.131,16.469,17.845,11135740
2000-02-27,16.979,17.919,16.184,16.402,6925692
2000-03-05,15.824,17.124,15.68,17.124,6271310
2000-03-12,17.34,17.483,16.251,16.469,4170843
2000-03-19,16.402,16.979,15.824,16.829,9314177
2000-03-26,16.829,17.702,16.402,17.559,7124435
2000-04-02,17.559,17.559,16.62,16.829,3938989
2000-04-09,16.904,16.904,15.824,16.251,4137710
2000-04-16,16.469,17.048,16.402,16.829,3281100
2000-04-23,15.824,16.402,15.605,16.108,3860743
2000-04-30,16.184,16.327,15.891,16.184,1898655
2000-05-07,15.965,16.184,15.824,15.891,477513
2000-05-14,15.891,16.402,15.68,16.042,1998830
2000-05-21,15.891,16.402,15.605,15.605,2788164
2000-05-28,15.53,15.68,14.521,14.665,3546041
2000-06-04,14.59,15.461,14.59,15.32,2244421
2000-06-11,15.461,16.184,15.32,15.68,3242222
2000-06-18,15.68,16.402,15.387,15.68,3944535
2000-06-25,15.605,15.965,15.461,15.824,2119043
2000-07-02,15.53,15.605,14.883,14.952,4808069
2000-07-09,15.17,15.245,14.808,14.952,9386457
2000-07-16,15.025,15.245,14.521,15.025,9170081
2000-07-23,15.17,16.042,15.1,15.605,7478187
2000-07-30,15.53,15.824,15.17,15.245,4576399
2000-08-06,15.025,15.1,14.59,14.952,4099075
2000-08-13,14.952,15.025,14.665,14.665,2475707
2000-08-20,14.665,14.883,13.868,14.267,2459573
2000-08-27,14.02,15.17,14.02,15.1,4262451
2000-09-03,14.808,15.025,14.38,14.74,3787306
2000-09-10,14.808,15.17,14.41,14.521,4920160
2000-09-17,14.306,14.808,14.229,14.521,3410419
2000-09-24,14.38,14.59,13.146,13.221,4645671
2000-10-01,13.44,13.507,12.387,13.004,4389507
2000-10-08,13.004,13.004,12.462,12.718,2346739
2000-10-15,12.68,12.68,11.087,11.305,4672676
2000-10-22,11.921,12.966,11.562,12.929,7363911
2000-10-29,12.929,13.507,12.747,12.929,5168080
2000-11-05,12.862,13.943,12.606,13.65,4046725
2000-11-12,13.802,14.41,13.44,13.507,6147153
2000-11-19,13.221,14.38,13.184,14.38,4893521
2000-11-26,14.447,14.883,14.342,14.808,5361937
2000-12-03,15.17,15.245,14.267,14.59,5750289
2000-12-10,14.665,15.53,14.41,15.32,6802116
2000-12-17,15.245,15.965,15.1,15.53,7350733
2000-12-24,15.53,16.327,15.025,16.251,8172507
2000-12-31,16.469,16.62,15.891,16.251,4542543
2001-01-07,16.108,16.469,15.68,15.68,3931033
2001-01-14,15.605,15.746,14.952,15.1,6107892
2001-01-21,15.17,15.965,15.025,15.891,6439523
2001-01-28,15.746,16.042,15.387,15.824,4544520
2001-02-04,15.68,16.108,15.605,15.68,3895725
2001-02-11,15.68,15.68,14.665,14.808,5593381
2001-02-18,14.665,15.025,13.62,13.65,3953627
2001-02-25,13.725,14.049,13.079,13.146,5789984
2001-03-04,13.326,13.402,12.35,12.643,3985218
2001-03-11,12.68,13.62,12.68,12.747,4309642
2001-03-18,12.643,13.221,12.207,13.079,6051279
2001-03-25,13.079,13.44,12.862,13.259,3904057
2001-04-01,13.402,13.547,13.079,13.221,2990362
2001-04-08,13.146,13.221,12.35,12.899,3205756
2001-04-15,12.823,13.725,12.747,13.507,2888279
2001-04-22,13.109,14.74,13.109,14.267,3699580
2001-04-29,14.125,14.59,13.982,14.342,3678227
2001-05-06,14.306,14.306,12.899,13.004,3224221
2001-05-13,13.079,13.326,12.862,13.289,3193588
2001-05-20,13.146,13.507,12.862,13.042,3935830
2001-05-27,12.966,14.447,12.966,14.02,5911879
2001-06-03,13.838,14.38,13.725,14.342,4241785
2001-06-10,14.229,14.41,13.44,13.44,4835213
2001-06-17,13.289,13.725,12.929,12.966,4165189
2001-06-24,13.004,13.259,12.862,13.004,2680936
2001-07-01,13.042,13.259,12.606,12.823,1913507
2001-07-08,12.823,13.042,12.68,12.718,2787915
2001-07-15,12.68,12.68,11.305,11.703,5277697
2001-07-22,11.703,12.32,11.703,11.847,6104738
2001-07-29,11.847,12.32,11.524,12.207,5691471
2001-08-05,12.207,12.68,11.921,12.568,5034755
2001-08-12,12.462,12.68,11.742,11.958,4219578
2001-08-19,11.921,12.17,11.524,11.668,3114613
2001-08-26,11.524,12.643,11.524,12.643,2842321
2001-09-02,12.747,12.899,12.387,12.862,2971479
2001-09-09,12.862,14.38,12.862,13.44,5782248
2001-09-16,13.221,13.582,11.921,12.139,5561774
2001-09-23,12.139,12.426,11.342,11.486,4184233
