<TICKER>        <NAME>
06N             06MAGNA
08N             08OCTAVA
11B             11BIT
1AT             ATAL
4FM             4FUNMEDIA
AAT             ALTA
ABE             ABPL
ABS             ASSECOBS
ACG             ACAUTOGAZ
ACP             ASSECOPOL
ACT             ACTION
ADV             ADIUVO
AGO             AGORA
AGT             AGROTON
ALE             ALLEGRO
ALG             AIGAMES
ALI             ALTUSTFI
ALL             AILLERON
ALR             ALIOR
AMB             AMBRA
AMC             AMICA
AML             ALUMETAL
APE             APSENERGY
APL             AMPLI
APN             APLISENS
APR             AUTOPARTN
APT             APATOR
ARH             ARCHICOM
ARR             ARTERIA
ART             ARTIFEX
ASB             ASBIS
ASE             ASSECOSEE
ASM             ASMGROUP
AST             ASTARTA
ATC             ARCTIC
ATD             ATENDE
ATG             ATMGRUPA
ATL             ATLASEST
ATM             ATM
ATP             ATLANTAPL
ATR             ATREM
ATS             ATLANTIS
ATT             GRUPAAZOTY
AUG             AUGA
AWB             AWBUD
AWM             AIRWAY
BAH             BAHOLDING
BBD             BBIDEV
BBT             BOOMBIT
BCM             BETACOM
BDX             BUDIMEX
BDZ             BEDZIN
BFT             BENEFIT
BHW             HANDLOWY
BIK             BIK
BIO             BIOTON
BKM             PBKM
BMC             BUMECH
BML             BIOMEDLUB
BNP             BNPPPL
BOS             BOS
BOW             BOWIM
BRA             BRASTER
BRG             BERLING
BRS             BORYSZEW
BST             BEST
CAR             INTERCARS
CCC             CCC
CCE             CCENERGY
CDL             CDRL
CDR             CDPROJEKT
CEZ             CEZ
CFI             CFI
CIE             CIECH
CIG             CIGAMES
CLE             COALENERG
CLN             CLNPHARMA
CMP             COMP
CMR             COMARCH
CNG             NOWAGALA
CNT             CNT
COG             COGNOR
CPA             CAPITAL
CPD             CELTIC
CPG             CPGROUP
CPL             COMPERIA
CPS             CYFRPLSAT
CRM             CORMAY
CTS             CITYSERV
CZT             CZTOREBKA
DAT             DATAWALK
DBC             DEBICA
DCR             DECORA
DEK             DEKPOL
DEL             DELKO
DGA             DGA
DNP             DINOPL
DOM             DOMDEV
DPL             DROZAPOL
DRE             DREWEX
DRP             DROP
DTR             DIGITREE
DVL             DEVELIA
EAH             ESOTIQ
EAT             AMREST
ECH             ECHO
EDI             EDINVEST
EEX             EKOEXPORT
EFK             EFEKT
EHG             EUROHOLD
EKP             ELKOP
ELB             ELBUDOWA
ELT             ELEKTROTI
ELZ             ELZAB
EMC             EMCINSMED
EMT             ELEMENTAL
ENA             ENEA
ENE             ENELMED
ENG             ENERGA
ENI             ENERGOINS
ENP             ENAP
ENT             ENTER
ERB             ERBUD
ERG             ERG
EST             ESTAR
ETL             EUROTEL
EUC             EUCO
EUR             EUROCASH
EVE             EVEREST
FEE             FEERUM
FER             FERRUM
FFI             FASTFIN
FGT             FENGHUA
FMF             FAMUR
FMG             FMG
FON             FON
FRO             FERRO
FSG             FASING
FTE             FORTE
GBK             GETBACK
GCN             GROCLIN
GIF             GAMFACTOR
GIFA            GAMFACTOR-PDA
GKI             IMMOBILE
GLC             GLCOSMED
GNB             GETINOBLE
GOB             GOBARTO
GOP             GAMEOPS
GPW             GPW
GRN             GRODNO
GTC             GTC
GTN             GETIN
HDR             HYDROTOR
