<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GRN,D,20110413,000000,2.8737,2.9255,2.3232,2.6846,112730,0
GRN,D,20110414,000000,2.5813,2.8393,2.5813,2.5813,53198,0
GRN,D,20110415,000000,2.4779,2.5813,2.1597,2.5813,58009,0
GRN,D,20110418,000000,2.4522,2.5813,2.4264,2.4522,13274,0
GRN,D,20110419,000000,2.4522,2.8221,2.4091,2.7276,21071,0
GRN,D,20110420,000000,2.7102,2.7102,2.5813,2.5813,20377,0
GRN,D,20110421,000000,2.5813,2.7102,2.5813,2.5898,13903,0
GRN,D,20110426,000000,2.6242,2.65,2.5813,2.607,19488,0
GRN,D,20110427,000000,2.6155,2.693,2.5898,2.607,19497,0
GRN,D,20110429,000000,2.6038,2.6823,2.6038,2.6823,4389,0
GRN,D,20110502,000000,2.6846,2.6846,2.607,2.607,669,0
GRN,D,20110504,000000,2.5984,2.5984,2.5984,2.5984,3112,0
GRN,D,20110505,000000,2.6155,2.6155,2.607,2.607,880,0
GRN,D,20110506,000000,2.607,2.607,2.607,2.607,1859,0
GRN,D,20110509,000000,2.607,2.607,2.607,2.607,1627,0
GRN,D,20110510,000000,2.6155,2.6155,2.607,2.607,33633,0
GRN,D,20110511,000000,2.6415,2.7102,2.607,2.607,11692,0
GRN,D,20110512,000000,2.6846,2.6846,2.6329,2.6329,1698,0
GRN,D,20110513,000000,2.6329,2.6329,2.6329,2.6329,1162,0
GRN,D,20110517,000000,2.6415,2.6415,2.6415,2.6415,465,0
GRN,D,20110518,000000,2.6329,2.6329,2.6329,2.6329,727,0
GRN,D,20110519,000000,2.6672,2.7102,2.6329,2.6329,10497,0
GRN,D,20110523,000000,2.6242,2.6242,2.6242,2.6242,465,0
GRN,D,20110524,000000,2.6242,2.6242,2.607,2.607,63570,0
GRN,D,20110525,000000,2.6242,2.6242,2.6242,2.6242,1704,0
GRN,D,20110526,000000,2.6242,2.6242,2.6242,2.6242,2097,0
GRN,D,20110527,000000,2.6242,2.6242,2.6242,2.6242,1242,0
GRN,D,20110531,000000,2.5952,2.6038,2.5952,2.6038,2208,0
GRN,D,20110601,000000,2.607,2.607,2.607,2.607,1162,0
GRN,D,20110607,000000,2.6586,2.7102,2.6242,2.6242,1282,0
GRN,D,20110608,000000,2.6242,2.6242,2.607,2.607,9879,0
GRN,D,20110610,000000,2.6672,2.6672,2.6672,2.6672,358,0
GRN,D,20110613,000000,2.6242,2.6242,2.6242,2.6242,1162,0
GRN,D,20110614,000000,2.607,2.607,2.607,2.607,814,0
GRN,D,20110615,000000,2.607,2.607,2.607,2.607,4415,0
GRN,D,20110616,000000,2.607,2.607,2.5813,2.5813,7836,0
GRN,D,20110617,000000,2.521,2.521,2.521,2.521,1479,0
GRN,D,20110621,000000,2.521,2.521,2.521,2.521,2964,0
GRN,D,20110622,000000,2.4952,2.4952,2.4952,2.4952,152,0
GRN,D,20110628,000000,2.5813,2.5813,2.5384,2.5384,3231,0
GRN,D,20110630,000000,2.5777,2.5777,2.5777,2.5777,5810,0
GRN,D,20110706,000000,2.5813,2.5813,2.5813,2.5813,5,0
GRN,D,20110707,000000,2.5813,2.5813,2.5813,2.5813,10,0
GRN,D,20110711,000000,2.5813,2.5813,2.5727,2.5727,694,0
GRN,D,20110713,000000,2.5727,2.5813,2.5727,2.5813,7591,0
GRN,D,20110718,000000,2.6242,2.6242,2.6242,2.6242,152,0
GRN,D,20110727,000000,2.4608,2.4608,2.4177,2.4177,1488,0
GRN,D,20110728,000000,2.3232,2.3232,2.3232,2.3232,1080,0
GRN,D,20110802,000000,2.2207,2.2207,2.064,2.064,12814,0
GRN,D,20110803,000000,2.022,2.022,1.8929,1.8929,7903,0
GRN,D,20110804,000000,1.8499,2.2715,1.764,2.2715,14011,0
GRN,D,20110805,000000,1.936,2.2284,1.936,2.2284,1511,0
GRN,D,20110808,000000,2.1511,2.1511,1.9102,1.9102,13948,0
GRN,D,20110810,000000,1.9791,1.9791,1.9791,1.9791,1058,0
GRN,D,20110811,000000,1.9791,1.9791,1.9791,1.9791,418,0
GRN,D,20110812,000000,1.9791,1.9791,1.9791,1.9791,1162,0
GRN,D,20110816,000000,1.8929,1.9015,1.8929,1.9015,2005,0
GRN,D,20110823,000000,1.936,1.9791,1.936,1.9791,3056,0
GRN,D,20110829,000000,1.9876,2.3748,1.9876,2.0737,6643,0
GRN,D,20110830,000000,2.1683,2.4091,2.1683,2.2629,6373,0
GRN,D,20110831,000000,2.273,2.482,2.273,2.482,1162,0
GRN,D,20110901,000000,2.349,2.349,2.3404,2.3404,5344,0
GRN,D,20110902,000000,2.2555,2.2555,2.1858,2.1858,2268,0
GRN,D,20110905,000000,2.2025,2.5296,2.2025,2.5296,1743,0
GRN,D,20110907,000000,2.273,2.273,2.2382,2.2382,3187,0
GRN,D,20110908,000000,2.2642,2.334,2.2642,2.334,1607,0
GRN,D,20110909,000000,2.392,2.392,2.392,2.392,349,0
