<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTS,D,20151116,000000,5.1892,5.264,5.1892,5.264,384,0
CTS,D,20151120,000000,5.3536,5.3536,5.3536,5.3536,27,0
CTS,D,20151123,000000,5.4507,5.4507,5.4507,5.4507,6,0
CTS,D,20151124,000000,5.5254,5.9733,5.4507,5.4507,53,0
CTS,D,20151125,000000,5.3387,5.824,5.3387,5.712,93,0
CTS,D,20151126,000000,5.4134,5.4134,5.4134,5.4134,9,0
CTS,D,20151127,000000,5.712,6.16,5.712,6.16,102,0
CTS,D,20151130,000000,5.6074,5.7867,5.376,5.376,331,0
CTS,D,20151201,000000,5.376,5.376,5.376,5.376,11,0
CTS,D,20151209,000000,5.376,5.376,5.376,5.376,67,0
CTS,D,20151210,000000,5.376,5.376,5.376,5.376,31,0
CTS,D,20160107,000000,5.5626,5.5626,5.5626,5.5626,536,0
CTS,D,20160108,000000,5.5701,5.9733,5.5701,5.9733,1607,0
CTS,D,20160111,000000,5.9733,5.9733,5.9733,5.9733,267,0
CTS,D,20160112,000000,5.9733,5.9733,5.9733,5.9733,537,0
CTS,D,20160203,000000,5.6747,5.6747,5.6747,5.6747,1,0
CTS,D,20160216,000000,5.6448,5.6448,5.376,5.376,267,0
CTS,D,20160308,000000,5.2266,5.2266,5.2266,5.2266,1,0
CTS,D,20160413,000000,5.406,5.406,5.406,5.406,214,0
CTS,D,20160414,000000,5.406,5.8017,5.406,5.8017,956,0
CTS,D,20160415,000000,5.9733,6.72,5.9733,6.72,590,0
CTS,D,20160418,000000,7.392,8.2137,7.392,8.2137,207,0
CTS,D,20160419,000000,8.2137,8.6014,6.9813,8.2137,837,0
CTS,D,20160420,000000,8.9598,9.782,7.467,8.0637,2230,0
CTS,D,20160425,000000,7.3846,7.3846,7.3846,7.3846,119,0
CTS,D,20160426,000000,7.3546,7.8926,7.3546,7.8926,148,0
CTS,D,20160428,000000,6.2048,6.2048,6.2048,6.2048,218,0
CTS,D,20160429,000000,6.72,6.72,6.2048,6.72,158,0
CTS,D,20160502,000000,7.0933,7.8549,7.0933,7.8549,54,0
CTS,D,20160504,000000,7.8549,7.8549,7.8549,7.8549,27,0
CTS,D,20160505,000000,8.2137,8.9598,8.2137,8.2137,944,0
CTS,D,20160506,000000,7.467,8.2137,7.467,8.2137,415,0
CTS,D,20160510,000000,7.1008,7.1008,7.1008,7.1008,13,0
CTS,D,20160511,000000,6.7125,6.7125,6.7125,6.7125,13,0
CTS,D,20160517,000000,6.7125,6.7125,6.7125,6.7125,1,0
CTS,D,20160518,000000,6.7125,6.7125,6.063,6.7125,17,0
CTS,D,20160519,000000,6.7125,6.7125,6.0555,6.0555,40,0
CTS,D,20160520,000000,6.3467,6.3467,6.3467,6.3467,89,0
CTS,D,20160523,000000,6.7125,6.7125,6.7125,6.7125,13,0
CTS,D,20160530,000000,7.0502,7.0502,7.0502,7.0502,1,0
CTS,D,20160601,000000,7.0345,7.0345,7.0345,7.0345,16,0
CTS,D,20160602,000000,7.0423,7.0423,7.0423,7.0423,1,0
CTS,D,20160606,000000,6.3436,6.3436,6.3436,6.3436,31,0
CTS,D,20160607,000000,5.7155,5.7155,4.8754,4.8833,19213,0
CTS,D,20160608,000000,5.0952,5.111,4.8833,5.111,50,0
CTS,D,20160609,000000,5.1267,5.6291,5.1267,5.6291,1659,0
CTS,D,20160610,000000,5.8961,6.1001,5.6683,5.6919,23686,0
CTS,D,20160613,000000,6.0452,6.3279,5.6527,5.6527,13273,0
CTS,D,20160614,000000,5.794,5.8096,5.794,5.8096,273,0
CTS,D,20160615,000000,5.9117,5.9196,5.7312,5.7312,519,0
CTS,D,20160616,000000,6.0688,6.0688,5.6605,5.6605,15346,0
CTS,D,20160617,000000,6.0452,6.0452,5.8096,5.8096,1922,0
CTS,D,20160620,000000,6.0452,6.0452,5.794,5.794,3173,0
CTS,D,20160621,000000,5.8096,5.8882,5.6762,5.8096,9006,0
CTS,D,20160622,000000,5.7469,5.849,5.7469,5.849,8148,0
CTS,D,20160623,000000,5.849,5.9039,5.794,5.9039,10046,0
CTS,D,20160624,000000,5.9432,5.9432,5.6683,5.6683,5733,0
CTS,D,20160627,000000,5.6683,5.7312,5.6683,5.7155,4701,0
CTS,D,20160628,000000,5.6919,6.1001,5.5113,5.7704,15374,0
CTS,D,20160629,000000,6.0452,6.0452,5.8882,6.0452,5378,0
CTS,D,20160630,000000,6.0452,6.2807,5.9824,6.2807,7516,0
CTS,D,20160701,000000,6.2807,6.2807,5.6605,5.6605,6922,0
CTS,D,20160704,000000,6.0374,6.0374,6.0374,6.0374,64,0
CTS,D,20160705,000000,5.1032,5.1032,5.1032,5.1032,95,0
CTS,D,20160706,000000,6.006,6.006,6.006,6.006,1274,0
CTS,D,20160707,000000,5.9667,5.9667,5.9509,5.9509,640,0
CTS,D,20160708,000000,5.9432,5.9432,5.8726,5.8726,2043,0
CTS,D,20160711,000000,5.9509,5.9509,5.9509,5.9509,1349,0
CTS,D,20160712,000000,6.0531,6.0531,6.0531,6.0531,1351,0
CTS,D,20160713,000000,6.1708,6.1708,6.1708,6.1708,1377,0
CTS,D,20160714,000000,6.2022,6.2022,6.2022,6.2022,1019,0
CTS,D,20160715,000000,6.2807,6.2807,6.2807,6.2807,128,0
CTS,D,20160718,000000,6.2807,6.2807,6.2807,6.2807,147,0
CTS,D,20160719,000000,6.375,6.375,6.375,6.375,648,0
CTS,D,20160720,000000,6.2807,6.2807,6.2807,6.2807,12,0
CTS,D,20160803,000000,5.794,5.8568,5.794,5.8568,9055,0
CTS,D,20160804,000000,5.8254,5.8803,5.8254,5.8803,8291,0
CTS,D,20160805,000000,5.8411,6.0766,5.8411,6.0766,6226,0
CTS,D,20160808,000000,6.0452,6.1237,6.0452,6.1237,3139,0
CTS,D,20160809,000000,6.1237,6.2807,6.1237,6.2729,2810,0
CTS,D,20160810,000000,6.2022,6.2807,6.2022,6.2807,5476,0
CTS,D,20160811,000000,6.2807,6.4378,6.2807,6.422,3978,0
CTS,D,20160812,000000,6.422,6.5084,6.32,6.5084,5990,0
CTS,D,20160816,000000,6.5555,6.5634,6.5084,6.5084,4939,0
CTS,D,20160817,000000,6.5319,6.5319,6.2807,6.2807,9688,0
CTS,D,20160818,000000,6.2807,6.4692,6.2807,6.4692,2451,0
CTS,D,20160819,000000,6.4613,6.477,6.2965,6.477,7259,0
CTS,D,20160822,000000,6.4535,6.5319,6.3514,6.477,5228,0
CTS,D,20160823,000000,6.4692,6.4692,6.2493,6.4692,6746,0
CTS,D,20160824,000000,6.477,6.477,6.2807,6.3985,13445,0
CTS,D,20160825,000000,6.3436,6.3592,6.2258,6.3592,6673,0
CTS,D,20160826,000000,5.9824,5.9824,5.8647,5.8647,1999,0
CTS,D,20160829,000000,6.1552,6.2807,6.1552,6.2807,7311,0
CTS,D,20160830,000000,6.3592,6.3985,6.2807,6.3985,12428,0
CTS,D,20160831,000000,6.3592,6.4535,6.2807,6.4535,12230,0
CTS,D,20160901,000000,6.4378,6.477,6.3592,6.477,8860,0
CTS,D,20160902,000000,6.477,6.5634,6.422,6.5319,13632,0
CTS,D,20160905,000000,6.5163,6.5555,6.265,6.5555,17319,0
CTS,D,20160906,000000,6.5555,6.5555,6.422,6.5005,6896,0
CTS,D,20160907,000000,6.5005,6.5398,6.3592,6.5398,6523,0
CTS,D,20160908,000000,6.5005,6.5163,6.422,6.5163,7529,0
CTS,D,20160909,000000,6.5555,6.5555,6.4849,6.5555,10227,0
CTS,D,20160912,000000,6.5005,6.5319,6.2807,6.5319,12286,0
CTS,D,20160913,000000,6.5163,6.5163,6.4378,6.5163,7844,0
CTS,D,20160914,000000,6.5555,6.5555,6.4378,6.5163,14054,0
CTS,D,20160915,000000,6.4849,6.5555,6.422,6.5555,6038,0
CTS,D,20160916,000000,6.4063,6.5555,6.2807,6.5163,13244,0
CTS,D,20160919,000000,6.5163,6.5634,6.4535,6.5634,6024,0
CTS,D,20160920,000000,6.5555,6.6341,6.4849,6.6341,4822,0
CTS,D,20160921,000000,6.6341,6.6733,6.5319,6.6733,6336,0
CTS,D,20160922,000000,6.5634,6.6733,6.477,6.6733,7253,0
CTS,D,20160923,000000,6.6733,6.8303,6.5163,6.6733,16238,0
CTS,D,20160926,000000,6.6105,6.8303,6.5163,6.8303,3752,0
CTS,D,20160927,000000,6.3985,6.8303,6.3985,6.8303,4970,0
CTS,D,20160928,000000,6.6419,6.8303,6.5163,6.8303,5204,0
CTS,D,20160929,000000,6.6576,6.8303,6.5634,6.8303,6394,0
CTS,D,20160930,000000,6.6655,6.6733,6.5163,6.6733,8903,0
CTS,D,20161003,000000,6.4298,6.7362,6.2807,6.7362,16632,0
CTS,D,20161004,000000,6.6733,6.791,6.5634,6.791,9399,0
CTS,D,20161005,000000,6.7518,6.7832,6.422,6.7283,19995,0
CTS,D,20161006,000000,6.6733,6.7283,6.4378,6.4535,12532,0
CTS,D,20161007,000000,6.689,6.689,6.5084,6.6419,11511,0
CTS,D,20161010,000000,6.6341,6.689,6.4378,6.689,6905,0
CTS,D,20161011,000000,6.6262,6.6262,6.4378,6.5948,9652,0
CTS,D,20161012,000000,6.7047,6.7125,6.5319,6.7125,11592,0
CTS,D,20161013,000000,6.7047,6.791,6.5634,6.791,12785,0
CTS,D,20161014,000000,6.7675,6.7675,6.5163,6.7047,12764,0
CTS,D,20161017,000000,6.3985,6.7047,6.3985,6.7047,9406,0
CTS,D,20161018,000000,6.6733,6.6968,6.5319,6.6968,10740,0
CTS,D,20161019,000000,6.7047,6.8303,6.5948,6.8303,11629,0
CTS,D,20161020,000000,6.5634,6.8775,6.5241,6.8775,10375,0
CTS,D,20161021,000000,6.8224,6.9794,6.689,6.9794,9582,0
CTS,D,20161024,000000,6.9794,7.0659,6.8146,6.9873,7319,0
CTS,D,20161025,000000,6.9873,7.0659,6.7518,7.0659,12172,0
CTS,D,20161026,000000,7.0659,7.3013,6.8381,7.3013,8378,0
CTS,D,20161027,000000,7.3799,7.5997,7.0659,7.5997,9795,0
CTS,D,20161028,000000,7.5762,7.8509,7.4583,7.8509,9598,0
CTS,D,20161102,000000,7.4583,7.4583,7.4583,7.4583,751,0
CTS,D,20161103,000000,7.4583,7.4583,7.4583,7.4583,6624,0
CTS,D,20161104,000000,7.4583,7.4583,7.4583,7.4583,5158,0
CTS,D,20161107,000000,7.4583,7.4583,7.4583,7.4583,64,0
CTS,D,20161108,000000,7.4426,7.4583,7.3013,7.4583,7912,0
CTS,D,20161109,000000,7.4426,7.4583,7.3013,7.4583,12541,0
CTS,D,20161110,000000,7.4583,7.4583,7.3092,7.4583,8997,0
CTS,D,20161114,000000,7.4583,7.4583,7.2072,7.4583,9038,0
CTS,D,20161115,000000,7.4348,7.4583,7.3092,7.4426,4047,0
CTS,D,20161116,000000,7.4583,7.4583,7.4348,7.4348,14139,0
CTS,D,20161117,000000,7.3877,7.4583,7.317,7.4583,4335,0
CTS,D,20161118,000000,7.4505,7.6625,7.317,7.6625,16119,0
CTS,D,20161121,000000,7.6547,7.7724,7.4662,7.4662,8940,0
CTS,D,20161122,000000,7.4741,7.5369,7.325,7.5369,9977,0
CTS,D,20161123,000000,7.5212,7.7724,7.3799,7.7724,14202,0
CTS,D,20161124,000000,7.7017,7.7647,7.5369,7.7647,7686,0
CTS,D,20161125,000000,7.6939,7.7724,7.5369,7.7724,7780,0
CTS,D,20161128,000000,7.5762,7.7724,7.5762,7.7724,8063,0
CTS,D,20161129,000000,7.7724,7.7724,7.5839,7.7724,12546,0
CTS,D,20161130,000000,7.7488,7.7567,7.5839,7.7567,5650,0
CTS,D,20161201,000000,7.7567,7.7724,7.6625,7.7724,6857,0
CTS,D,20161202,000000,7.7724,7.8274,7.7724,7.8274,4241,0
CTS,D,20161205,000000,7.7724,7.8509,7.6939,7.843,4807,0
CTS,D,20161206,000000,7.843,7.8509,7.6939,7.8509,5803,0
CTS,D,20161207,000000,7.843,7.843,7.4819,7.843,5080,0
CTS,D,20161208,000000,7.843,7.8509,7.7724,7.8509,3312,0
CTS,D,20161209,000000,7.8117,7.8117,7.6155,7.6939,24899,0
CTS,D,20161212,000000,7.7253,7.7331,7.3799,7.7331,6807,0
CTS,D,20161213,000000,7.7253,7.7331,7.6155,7.7331,4540,0
CTS,D,20161214,000000,7.7253,7.7331,7.6547,7.7331,11337,0
CTS,D,20161216,000000,7.7253,7.7331,7.6547,7.7331,5465,0
CTS,D,20161219,000000,7.6939,7.7724,7.6155,7.7724,6226,0
CTS,D,20161220,000000,7.741,7.7724,7.6782,7.7724,4340,0
CTS,D,20161222,000000,7.3406,7.6547,7.3406,7.6547,5604,0
CTS,D,20161223,000000,7.6155,7.6861,7.6155,7.6861,12738,0
CTS,D,20161227,000000,7.6547,7.8745,7.6547,7.8745,23650,0
CTS,D,20161228,000000,7.6547,8.2357,7.6547,8.2357,19492,0
CTS,D,20161230,000000,8.0315,8.0315,8.0315,8.0315,123,0
CTS,D,20170102,000000,7.7567,8.0865,7.7567,8.0865,10460,0
CTS,D,20170103,000000,8.008,8.6362,7.8509,8.008,9455,0
CTS,D,20170104,000000,7.8509,8.6282,7.8509,8.6282,5392,0
CTS,D,20170105,000000,8.0472,8.2041,7.8509,7.898,2282,0
CTS,D,20170109,000000,8.0708,8.2041,8.0708,8.2041,2517,0
CTS,D,20170110,000000,8.0865,8.1964,7.8509,8.1414,10149,0
CTS,D,20170111,000000,8.1335,8.2041,8.1258,8.2041,3474,0
CTS,D,20170112,000000,7.8588,8.1885,7.8588,8.1806,2950,0
CTS,D,20170113,000000,7.8509,8.1414,7.8509,8.1414,247,0
CTS,D,20170116,000000,8.1179,8.1179,8.0865,8.1022,3671,0
CTS,D,20170117,000000,8.0708,8.0787,8.0472,8.0472,2946,0
