<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KVT,D,20151216,000000,8.1221,8.1296,7.0006,7.7642,41354,0
KVT,D,20151217,000000,7.7642,7.9626,7.3995,7.9626,14687,0
KVT,D,20151218,000000,7.9626,8.1221,7.7703,7.7703,713,0
KVT,D,20151221,000000,7.5849,7.9626,7.5849,7.9626,1483,0
KVT,D,20151222,000000,8.0294,8.0294,7.9626,7.9626,9,0
KVT,D,20151223,000000,7.9626,7.9626,7.8303,7.9626,41,0
KVT,D,20151228,000000,7.9564,7.9564,7.7642,7.9299,80,0
KVT,D,20151229,000000,7.9238,7.9299,7.7642,7.9299,1885,0
KVT,D,20151230,000000,7.9626,8.0294,7.7642,8.0294,2481,0
KVT,D,20160104,000000,8.0294,8.0294,7.7642,8.0294,7056,0
KVT,D,20160105,000000,7.996,7.996,7.9626,7.9626,4714,0
KVT,D,20160107,000000,7.996,7.996,7.8303,7.9626,5408,0
KVT,D,20160108,000000,7.996,7.996,7.9626,7.9626,8,0
KVT,D,20160111,000000,8.0294,8.0294,7.6244,7.6312,1468,0
KVT,D,20160112,000000,7.6312,7.6913,7.3327,7.4322,1415,0
KVT,D,20160113,000000,7.5059,7.5059,7.5059,7.5059,76,0
KVT,D,20160114,000000,7.4923,7.4923,6.9679,7.0341,22668,0
KVT,D,20160115,000000,7.0341,7.0341,6.9015,6.9015,1816,0
KVT,D,20160118,000000,6.9015,6.9015,6.583,6.583,311,0
KVT,D,20160119,000000,6.636,6.636,6.5763,6.6094,314,0
KVT,D,20160120,000000,6.6293,6.6293,6.2377,6.2377,3612,0
KVT,D,20160121,000000,6.4037,6.4037,5.9724,6.2311,2258,0
KVT,D,20160122,000000,6.2311,6.2311,6.2311,6.2311,150,0
KVT,D,20160125,000000,6.0055,6.0586,5.979,6.0586,12319,0
KVT,D,20160126,000000,6.0586,6.2311,6.0586,6.2311,377,0
KVT,D,20160127,000000,6.2711,6.7684,6.2246,6.7684,5262,0
KVT,D,20160128,000000,6.7022,7.1672,6.636,7.16,1760,0
KVT,D,20160129,000000,7.16,7.1672,6.835,7.1265,2215,0
KVT,D,20160201,000000,7.1672,7.1672,7.1672,7.1672,424,0
KVT,D,20160202,000000,7.2931,7.2931,6.6491,6.6491,2081,0
KVT,D,20160203,000000,6.7022,6.7022,6.7022,6.7022,313,0
KVT,D,20160204,000000,6.6426,6.7022,6.4634,6.7022,221,0
KVT,D,20160205,000000,6.7022,6.7351,6.636,6.7351,700,0
KVT,D,20160208,000000,6.6426,6.7423,6.6426,6.7423,37,0
KVT,D,20160209,000000,6.7423,7.1003,6.5696,7.1003,1272,0
KVT,D,20160210,000000,7.1003,7.1003,7.0341,7.0341,3,0
KVT,D,20160211,000000,7.0341,7.0341,7.0341,7.0341,5,0
KVT,D,20160212,000000,7.0341,7.0341,7.0341,7.0341,8,0
KVT,D,20160215,000000,7.0341,7.0341,7.0341,7.0341,2,0
KVT,D,20160216,000000,7.0341,7.0341,7.0341,7.0341,7,0
KVT,D,20160217,000000,7.0341,7.0341,7.0341,7.0341,2,0
KVT,D,20160218,000000,7.0341,7.0341,6.8017,6.8017,1770,0
KVT,D,20160219,000000,6.8017,6.8017,6.8017,6.8017,73,0
KVT,D,20160222,000000,6.8017,6.8017,6.6426,6.6426,331,0
KVT,D,20160223,000000,6.636,6.7022,6.636,6.636,15718,0
KVT,D,20160224,000000,6.636,6.6426,6.636,6.636,5360,0
KVT,D,20160225,000000,6.636,6.636,6.5431,6.636,448,0
KVT,D,20160226,000000,6.636,6.6426,6.636,6.6426,386,0
KVT,D,20160229,000000,6.636,6.7351,6.49,6.7351,2303,0
KVT,D,20160301,000000,6.7156,6.7156,6.636,6.636,583,0
KVT,D,20160302,000000,6.6426,6.7351,6.6426,6.7222,1421,0
KVT,D,20160303,000000,6.7222,6.9679,6.7222,6.9679,209,0
KVT,D,20160304,000000,6.9679,6.9679,6.7222,6.9351,114,0
KVT,D,20160307,000000,6.9475,6.9679,6.9475,6.9679,2,0
KVT,D,20160308,000000,6.7351,6.9679,6.7351,6.835,2098,0
KVT,D,20160309,000000,6.7351,6.7684,6.7351,6.7684,15,0
KVT,D,20160310,000000,6.7684,7.0472,6.7684,7.0472,767,0
KVT,D,20160311,000000,6.8017,7.0341,6.8017,7.0341,497,0
KVT,D,20160314,000000,7.2855,7.2855,7.1003,7.1003,9,0
KVT,D,20160315,000000,7.2855,7.2931,7.0669,7.2931,573,0
KVT,D,20160316,000000,7.3919,7.3919,7.2665,7.2665,58,0
KVT,D,20160317,000000,7.2665,7.2665,7.12,7.1672,1058,0
KVT,D,20160318,000000,7.1672,7.1672,7.1672,7.1672,2,0
KVT,D,20160321,000000,7.2855,7.2855,6.9547,6.9547,1057,0
KVT,D,20160322,000000,7.0341,7.0341,6.9015,6.9015,27966,0
KVT,D,20160323,000000,7.0275,7.0275,6.7022,6.7022,1835,0
KVT,D,20160324,000000,7.1672,7.1672,6.4634,6.709,9860,0
KVT,D,20160329,000000,6.7022,6.7022,6.7022,6.7022,853,0
KVT,D,20160330,000000,6.7755,6.7755,6.7755,6.7755,2,0
KVT,D,20160331,000000,6.8413,6.8413,6.7755,6.8413,310,0
KVT,D,20160401,000000,6.835,7.24,6.6691,7.24,2993,0
KVT,D,20160404,000000,7.2331,7.2331,7.2331,7.2331,100,0
KVT,D,20160405,000000,7.1672,7.1672,7.0006,7.16,31,0
KVT,D,20160406,000000,7.1003,7.16,7.1003,7.16,76,0
KVT,D,20160407,000000,7.16,7.16,7.1003,7.1003,2,0
KVT,D,20160408,000000,7.0006,7.1338,7.0006,7.1338,295,0
KVT,D,20160411,000000,7.1338,7.1338,6.9679,7.0006,1223,0
KVT,D,20160412,000000,6.9679,6.9679,6.9679,6.9679,1,0
KVT,D,20160413,000000,6.9679,6.9679,6.9679,6.9679,2,0
KVT,D,20160414,000000,6.9351,6.9679,6.9351,6.9679,294,0
KVT,D,20160415,000000,6.7022,6.9679,6.7022,6.9679,200,0
KVT,D,20160418,000000,6.9679,7.0006,6.9679,7.0006,215,0
KVT,D,20160419,000000,7.24,7.3129,6.9679,7.3129,41844,0
KVT,D,20160420,000000,7.3061,8.0818,7.2665,8.0818,12163,0
KVT,D,20160421,000000,8.0294,8.0294,7.8303,8.0233,1299,0
KVT,D,20160422,000000,8.0818,8.0818,7.9626,8.0628,5196,0
KVT,D,20160425,000000,7.8835,7.9626,7.8835,7.9626,75385,0
KVT,D,20160426,000000,8.0818,8.0818,8.0628,8.0628,229,0
KVT,D,20160427,000000,8.0628,8.0628,7.7642,7.7642,740,0
KVT,D,20160428,000000,8.0628,8.0628,7.7642,7.7642,965,0
KVT,D,20160429,000000,7.9564,7.9626,7.7642,7.9626,1531,0
KVT,D,20160502,000000,7.9626,7.9626,7.9626,7.9626,76,0
KVT,D,20160504,000000,7.9626,7.9626,7.8637,7.9626,1088,0
KVT,D,20160505,000000,7.9626,7.9626,7.9564,7.9564,2,0
KVT,D,20160506,000000,7.9626,7.9626,7.9564,7.9564,2,0
KVT,D,20160509,000000,7.9564,7.9564,7.9564,7.9564,2,0
KVT,D,20160510,000000,7.9564,7.9564,7.1672,7.4649,1410,0
KVT,D,20160511,000000,7.4649,7.4649,7.4649,7.4649,301,0
KVT,D,20160513,000000,7.8971,7.8971,7.5644,7.6312,322,0
KVT,D,20160516,000000,7.8303,7.8303,7.5257,7.5257,758,0
KVT,D,20160517,000000,7.5257,7.6913,7.5257,7.6913,26,0
KVT,D,20160518,000000,7.8303,7.8303,7.8303,7.8303,8,0
KVT,D,20160519,000000,7.6312,7.6312,7.4724,7.6312,307,0
KVT,D,20160520,000000,7.4724,7.6312,7.4724,7.6312,59,0
KVT,D,20160523,000000,7.8303,7.8303,7.4983,7.6312,1132,0
KVT,D,20160524,000000,7.8303,7.8303,7.4724,7.8303,294,0
KVT,D,20160525,000000,7.8235,7.8235,7.7968,7.7968,2,0
KVT,D,20160527,000000,7.8303,7.8303,7.8303,7.8303,2,0
KVT,D,20160530,000000,7.8235,7.8235,7.8174,7.8174,2,0
KVT,D,20160531,000000,7.8174,7.8174,7.8105,7.8105,27,0
KVT,D,20160601,000000,7.8174,7.8174,7.5591,7.7968,599,0
KVT,D,20160602,000000,7.7968,7.7968,7.7642,7.7968,131,0
KVT,D,20160603,000000,7.7968,7.7968,7.7968,7.7968,2,0
KVT,D,20160606,000000,7.7968,7.7968,7.7968,7.7968,338,0
KVT,D,20160607,000000,7.7968,7.7968,7.5591,7.7642,154,0
KVT,D,20160608,000000,7.7968,7.7968,7.3327,7.3327,1447,0
KVT,D,20160609,000000,7.3327,7.4649,7.1142,7.1142,182489,0
KVT,D,20160610,000000,6.9679,7.2331,6.9679,7.2331,319,0
KVT,D,20160613,000000,7.4649,7.4649,7.2001,7.2001,767,0
KVT,D,20160614,000000,7.4649,7.4649,7.2331,7.2331,66,0
KVT,D,20160615,000000,7.2855,7.2855,7.2855,7.2855,2,0
KVT,D,20160616,000000,7.3,7.4649,7.0472,7.4649,15,0
KVT,D,20160617,000000,7.4649,7.4649,7.0669,7.0669,33,0
