<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMB,D,20050622,000000,5.0699,5.0699,4.8843,4.9663,82531,0
AMB,D,20050623,000000,4.8843,4.9116,4.7262,4.8026,39475,0
AMB,D,20050624,000000,4.7535,4.7753,4.6988,4.7753,5218,0
AMB,D,20050627,000000,4.7535,4.8026,4.7535,4.8026,37796,0
AMB,D,20050628,000000,4.8571,4.8571,4.8571,4.8571,25207,0
AMB,D,20050629,000000,4.8843,4.9116,4.8843,4.8843,8366,0
AMB,D,20050630,000000,4.8299,4.9391,4.8299,4.8571,11231,0
AMB,D,20050701,000000,4.8571,5.0155,4.8571,5.0155,15727,0
AMB,D,20050704,000000,4.9936,5.0155,4.9936,5.0155,8936,0
AMB,D,20050705,000000,5.0155,5.1519,5.0155,5.0972,96116,0
AMB,D,20050706,000000,5.0699,5.1245,5.0699,5.0972,64647,0
AMB,D,20050707,000000,5.0155,5.0972,5.0155,5.0972,21429,0
AMB,D,20050708,000000,5.0972,5.1245,5.0972,5.0972,85373,0
AMB,D,20050711,000000,5.0155,5.0155,5.0155,5.0155,6307,0
AMB,D,20050712,000000,5.0155,5.0699,5.0155,5.0155,7888,0
AMB,D,20050713,000000,5.0699,5.0699,5.0155,5.0427,6123,0
AMB,D,20050714,000000,5.0699,5.0699,5.0427,5.0699,54146,0
AMB,D,20050715,000000,5.0699,5.0972,5.0699,5.0972,9840,0
AMB,D,20050718,000000,5.0972,5.0972,5.0427,5.0972,69578,0
AMB,D,20050719,000000,5.0427,5.0972,5.0155,5.0699,10720,0
AMB,D,20050720,000000,5.0972,5.1245,5.0699,5.0972,15110,0
AMB,D,20050721,000000,5.0972,5.1519,5.0155,5.1519,142334,0
AMB,D,20050722,000000,5.1519,5.1791,5.0972,5.0972,23349,0
AMB,D,20050725,000000,5.1245,5.1245,5.1245,5.1245,6569,0
AMB,D,20050726,000000,5.1245,5.1245,5.0972,5.0972,68839,0
AMB,D,20050727,000000,5.0972,5.1791,5.0972,5.1791,102002,0
AMB,D,20050728,000000,5.1245,5.1245,5.0972,5.0972,24240,0
AMB,D,20050729,000000,5.1519,5.1519,5.1245,5.1245,494,0
AMB,D,20050801,000000,5.1519,5.1519,5.0427,5.0972,3507,0
AMB,D,20050802,000000,5.0699,5.1245,5.0699,5.1245,1030,0
