<DATE>,<CLOSE>
2019-10-10,6.93
2019-10-11,6.93
2019-10-14,6.931
2019-10-15,6.88
2019-10-16,6.92
2019-10-17,6.88
2019-10-18,6.88
2019-10-21,6.63
2019-10-22,6.63
2019-10-23,6.62
2019-10-24,6.83
2019-10-25,6.83
2019-10-28,6.83
2019-10-29,6.831
2019-10-30,6.831
2019-10-31,6.831
2019-11-04,6.831
2019-11-05,6.92
2019-11-06,6.92
2019-11-07,6.92
2019-11-08,6.92
2019-11-12,6.92
2019-11-13,6.949
2019-11-14,6.949
2019-11-15,6.949
2019-11-18,6.949
2019-11-19,6.949
2019-11-20,6.949
2019-11-21,6.949
2019-11-22,7.44
2019-11-25,8.08
2019-11-26,8.08
2019-11-27,8.08
2019-11-28,8.08
2019-11-29,8.58
2019-12-02,9.52
2019-12-03,9.66
2019-12-04,10.14
2019-12-05,10.5
2019-12-06,11.11
2019-12-09,11.11
2019-12-10,11
2019-12-11,10.3
2019-12-12,10
2019-12-13,10
2019-12-16,10
2019-12-17,10
2019-12-18,9.06
2019-12-30,9.06
2020-01-03,9.061
2020-01-07,8.74
2020-01-08,8
2020-01-09,8.4
2020-01-13,7.4
2020-01-14,6.67
2020-01-15,6.98
2020-01-16,6.28
2020-01-17,6.1
2020-01-20,6.09
2020-01-21,5.9
2020-01-22,5.5
2020-01-23,5.299
2020-01-24,5.297
2020-01-27,5.05
2020-01-28,4.93
2020-01-29,4.88
2020-01-30,5.1
2020-01-31,4.9
2020-02-03,4.8
2020-02-04,4.5
2020-02-05,4.4
2020-02-06,4.19
2020-02-07,4.2995
2020-02-10,4.3005
2020-02-11,4.39
2020-02-12,4.39
2020-02-13,4.4
2020-02-17,4.43
2020-02-18,4.65
2020-02-19,5.6
2020-02-20,5.8
2020-02-21,5.2
2020-02-24,5.1
2020-02-26,4.91
2020-02-27,4
2020-02-28,3.62
2020-03-02,3.3
2020-03-03,3.1
2020-03-04,3
2020-03-05,3.15
2020-03-09,2.97
2020-03-10,2.91
2020-03-11,2.78
2020-03-13,2.85
2020-03-17,2.75
2020-03-20,2.6305
2020-03-24,2.65
2020-03-25,2.56
2020-03-27,2.48
2020-03-30,2.5
2020-04-01,2.4995
2020-04-02,2.3
2020-04-03,2.3
2020-04-07,2.53
2020-04-08,2.5295
2020-04-09,2.25
2020-04-14,2.4
2020-04-15,2.4
2020-04-16,2.4
2020-04-17,2.4
2020-04-20,2.4
2020-04-21,2.55
2020-04-22,3
2020-04-23,3.5
2020-04-24,4.2
2020-04-27,3.65
2020-04-28,3.62
2020-04-29,3.59
2020-04-30,3.59
2020-05-04,3.3
2020-05-06,3.1
2020-05-07,2.98
2020-05-08,2.91
2020-05-12,2.7
2020-05-13,2.7
2020-05-14,2.79
2020-05-15,2.51
2020-05-18,2.35
2020-05-20,2.5
2020-05-21,2.69
2020-05-27,2.4
2020-05-28,2.7
2020-05-29,2.9
2020-06-01,2.9
2020-06-02,2.6
2020-06-04,2.49
2020-06-08,2.35
2020-06-09,2.6995
2020-06-10,2.85
2020-06-12,2.95
2020-06-15,3
2020-06-16,3.05
2020-06-17,3.2
2020-06-19,3.15
2020-06-22,3.55
2020-06-23,3.88
2020-06-24,3.7
2020-06-25,3.8
2020-06-29,4.3
2020-06-30,4.5595
2020-07-01,4.56
2020-07-02,4.7
2020-07-06,4.83
2020-07-08,4.82
2020-07-10,4.65
2020-07-14,4.6
2020-07-15,4.78
2020-07-16,4.7
2020-07-17,4.7
2020-07-20,4.7
2020-07-21,4.65
2020-07-22,4.7
2020-07-23,5.93
2020-07-24,6.65
2020-07-27,8
2020-07-28,9.9
2020-07-29,9.45
2020-07-30,9.22
2020-07-31,9.22
2020-08-03,9
2020-08-05,7.98
2020-08-06,8.28
2020-08-07,8.15
2020-08-10,8
2020-08-13,8.26
2020-08-17,8.28
2020-08-20,8.2
2020-08-24,7.8
2020-08-25,7.8
2020-08-26,7.8
2020-08-27,7.8
2020-08-28,7.9
2020-08-31,7.95
2020-09-01,8.35
2020-09-03,8.4
2020-09-07,8.5
2020-09-08,9
2020-09-09,9.5
2020-09-10,9.35
2020-09-11,9.35
2020-09-21,9.001
2020-09-22,9.011
2020-09-24,9.13
2020-09-25,9
2020-09-28,9
2020-09-30,9
2020-10-01,8.15
2020-10-02,8.5
2020-10-05,8.55
2020-10-06,8.65
2020-10-07,8.4
2020-10-08,8.4
2020-10-12,8.5
2020-10-14,8.5
2020-10-15,9.1
2020-10-16,9.11
2020-10-19,9.11
2020-10-20,9.11
2020-10-21,8.2
2020-10-23,8
2020-10-26,8.4
2020-10-27,8.77
2020-10-28,8.75
2020-10-29,8.3
2020-10-30,8.75
